Workout Plans 2024–2025,,
Workout Plan 2024,,
2025-11-06,45,"Разминка + кросс 8 км, чсс 145 + растяжка (https://youtu.be/7FCNFuyyWTA?si=HegpN1Tngej7akR_). ПЛАН 03-09.11, ЧТ."
2025-11-09,46,"Разминка + кросс 8 км, чсс 145-150 + растяжка (https://youtu.be/xMyQ6-EJGxw) + МФР (https://youtu.be/fWD3RgrmzjA). ПЛАН 03-09.11, ВС."
2025-11-10,47,"Отдых. ПЛАН 10-16.11, ПН."
2025-11-11,48,"Разминка + кросс 6 км, чсс 135 + растяжка (https://youtu.be/Tz5sIk_VgBw). ПЛАН 10-16.11, ВТ."
2025-11-13,49,"Разминка + кросс 8 км, чсс 145 + растяжка (https://youtu.be/7FCNFuyyWTA?si=HegpN1Tngej7akR_). ПЛАН 10-16.11, ЧТ."
2025-11-16,50,"Разминка + кросс 8 км, чсс 145-150 + растяжка (https://youtu.be/xMyQ6-EJGxw) + МФР (https://youtu.be/fWD3RgrmzjA). ПЛАН 10-16.11, ВС."
2025-11-17,51,"Отдых. ПЛАН 17-23.11, ПН."
2025-11-18,52,"Разминка + кросс 35 мин, чсс 140-145 + ускорения в гору 5×100 м (85-90%)/100 м трусцой + 5 мин лёгкого бега + растяжка (https://youtu.be/Tz5sIk_VgBw). ПЛАН 17-23.11, ВТ."
2025-11-19,53,"Разминка + ОФП (2 видео ВК) + растяжка (https://youtu.be/OjcN6RzWFWs). ПЛАН 17-23.11, СР."
2025-11-20,54,"Разминка + кросс 45-50 мин, чсс 135 + растяжка (https://youtu.be/OjcN6RzWFWs?si=Y-nmK0PmPmY9lbQs). ПЛАН 17-23.11, ЧТ."
2025-11-21,55,"Разминка + ОФП со стулом (ВК-видео) до лёгкой усталости + ещё одно ОФП‑видео + растяжка (https://youtu.be/7FCNFuyyWTA?si=HegpN1Tngej7akR_). ПЛАН 17-23.11, ПТ."
2025-11-22,56,"Разминка + лёгкий кросс 6 км, чсс 135-140 + растяжка (https://youtu.be/Ef0-ZuOK8dQ?si=G7dylLqavMSsQINF). ПЛАН 17-23.11, СБ."
2025-11-23,57,"Разминка + кросс 10 км, чсс 140-145 + МФР (https://youtu.be/fWD3RgrmzjA) + растяжка (https://youtu.be/Je4Cm1HCow8?si=f9V5o5AVQJ3RDMd0). ПЛАН 17-23.11, ВС."
